timestamp,t_rel_s,position_tics,velocity_rpm
2026-08-28T14:35:32.289,60.513,-9980,0.00
2026-08-28T14:35:32.657,60.881,-9980,0.00
2026-08-28T14:35:33.786,62.009,-9980,0.00
2026-08-28T14:35:43.678,71.902,38389,0.00
2026-08-28T14:35:43.993,72.216,38389,0.00
2026-08-28T14:35:45.605,73.829,58248,139.82
2026-08-28T14:35:47.637,75.860,64835,164.68
2026-08-28T14:36:11.920,100.143,75028,126.67
2026-08-28T14:36:11.921,100.145,75028,128.15
2026-08-28T14:36:19.096,107.320,90275,0.00
2026-08-28T14:38:25.444,233.668,90275,0.00
2026-08-28T14:38:25.445,233.669,90275,0.00
2026-08-28T14:38:27.133,235.357,54511,0.00
2026-08-28T14:38:28.072,236.296,54511,0.00
2026-08-28T14:38:29.075,237.299,54511,0.00
2026-08-28T14:38:30.191,238.414,54511,0.00
2026-08-28T14:38:31.673,239.896,54511,0.00
2026-08-28T14:38:33.946,242.169,54511,0.00
2026-08-28T14:38:35.455,243.678,54511,0.00
2026-08-28T14:38:36.113,244.336,54511,0.00
2026-08-28T14:38:36.262,244.486,54511,0.00
2026-08-28T14:38:37.737,245.960,54511,0.00
2026-08-28T14:38:38.470,246.694,54511,0.00
2026-08-28T14:38:39.850,248.073,54511,0.00
2026-08-28T14:38:40.347,248.570,54511,0.00
2026-08-28T14:38:41.766,249.990,54511,0.00
2026-08-28T14:38:42.316,250.540,54511,0.00
2026-08-28T14:38:43.307,251.531,54511,0.00
2026-08-28T14:38:44.255,252.479,54511,0.00
2026-08-28T14:38:45.435,253.659,54511,0.00
2026-08-28T14:38:46.253,254.476,54511,0.00
2026-08-28T14:38:47.299,255.523,54511,0.00
2026-08-28T14:38:48.261,256.484,54511,0.00
2026-08-28T14:38:49.343,257.566,54511,0.00
2026-08-28T14:38:50.493,258.717,54511,0.00
2026-08-28T14:38:51.478,259.702,54511,0.00
2026-08-28T14:38:52.277,260.501,54511,0.00
2026-08-28T14:38:53.486,261.709,54511,0.00
2026-08-28T14:38:54.689,262.913,54511,0.00
2026-08-28T14:38:56.600,264.823,54511,0.00
2026-08-28T14:38:56.919,265.143,54511,0.00
2026-08-28T14:38:57.243,265.466,54511,0.00
2026-08-28T14:38:58.260,266.484,54511,0.00
2026-08-28T14:38:59.257,267.481,54511,0.00
2026-08-28T14:39:00.268,268.491,55008,12.43
2026-08-28T14:39:01.237,269.461,58933,98.12
2026-08-28T14:39:02.240,270.463,63679,118.65
2026-08-28T14:39:03.246,271.470,60208,-86.77
2026-08-28T14:39:04.257,272.480,51972,-205.90
2026-08-28T14:39:05.266,273.490,43593,-209.48
2026-08-28T14:39:06.245,274.469,34882,-217.77
2026-08-28T14:39:07.406,275.629,25942,-223.50
2026-08-28T14:39:08.294,276.518,16317,-240.62
2026-08-28T14:39:09.390,277.613,10248,-151.72
2026-08-28T14:39:10.398,278.621,5743,-112.62
2026-08-28T14:39:11.446,279.670,-2701,-211.10
2026-08-28T14:39:13.173,281.397,-6565,-96.60
2026-08-28T14:39:14.185,282.409,-5487,26.95
2026-08-28T14:39:14.233,282.457,-5487,0.00
2026-08-28T14:39:15.264,283.488,-5487,0.00
2026-08-28T14:39:16.239,284.462,-2438,76.22
2026-08-28T14:39:17.240,285.463,-2119,7.98
2026-08-28T14:39:18.556,286.780,-2120,-0.03
2026-08-28T14:39:19.241,287.464,-1895,5.62
2026-08-28T14:39:20.369,288.592,107,50.05
2026-08-28T14:39:21.643,289.867,242,3.38
2026-08-28T14:39:22.415,290.639,242,0.00
2026-08-28T14:39:23.310,291.534,209,-0.82
2026-08-28T14:39:24.340,292.563,123,-2.15
2026-08-28T14:39:25.230,293.453,123,0.00
2026-08-28T14:39:26.238,294.461,123,0.00
2026-08-28T14:39:27.500,295.723,123,0.00
2026-08-28T14:39:28.331,296.554,123,0.00
2026-08-28T14:39:30.997,299.221,121,-0.05
2026-08-28T14:39:32.323,300.546,191,1.75
2026-08-28T14:39:36.618,304.842,191,0.00
2026-08-28T14:39:36.619,304.842,191,0.00
2026-08-28T14:39:39.183,307.407,191,0.00
2026-08-28T14:39:41.195,309.418,191,0.00
2026-08-28T14:39:43.937,312.160,45,-3.65
2026-08-28T14:39:46.052,314.275,-85,-3.25
2026-08-28T14:39:46.510,314.733,-139,-1.35
2026-08-28T14:39:47.431,315.655,-139,0.00
2026-08-28T14:39:47.508,315.731,-93,1.15
2026-08-28T14:39:48.241,316.464,-93,0.00
2026-08-28T14:39:49.250,317.474,-93,0.00
2026-08-28T14:39:50.266,318.490,-93,0.00
2026-08-28T14:39:51.322,319.546,104,4.93
2026-08-28T14:39:52.291,320.515,104,0.00
2026-08-28T14:39:53.280,321.504,104,0.00
2026-08-28T14:39:54.335,322.558,104,0.00
2026-08-28T14:39:55.333,323.557,104,0.00
2026-08-28T14:39:56.456,324.680,104,0.00
2026-08-28T14:39:57.596,325.820,104,0.00
